hebrew,english,transliteration,skill,english_guidebook,english_pdf,skill_url,transliteration_key,lexeme_id,related_lexemes
לשמוע,Hear; Listen (Qal),lish'moa,Infinitives 1,,Hear; Listen (Qal),Verbs:-Infinitive,lshmv`,5115115f794a0695dbb8de92865ef695,
אגוז,Nut,egoz egozim,Letters 2,,Nut,Letters-2,gvz,2854a4b7dcdedd8ff33ce8df9a2160b6,
יונה,Dove,yonah yonim,Letters 1,,Dove,Letters-1,yvnh,979c243a42a2e5a0cf60cd0c117038ca,
לכתוב,to write / writing,lik'tov,Infinitives 1,to write / writing,Write (Qal),Verbs:-Infinitive,lktvb,d9ff74f52e32a2c7f5ddfe7b810a67af,
לרוץ,run / running / to run,larutz,Infinitives 1,run / running / to run,Run (Qal),Verbs:-Infinitive,lrvts,2e1535ffa101c2663ecdaca2442456db,
נא,Please (interj),na,Formal,,Please (interj),Formal,n,b05a0db127f5d830ff5061e5783d26ef,
פחות,less / minus,pakhot,Numbers 2,less / minus,Less,Numbers-2,pkhvt,5709b128c7d602ecececa8b27783f0e5,eccff0f24313f7a1860ff756abad8e54;94fda9b193a21347ea931dca4fd04c6f
אנגלית,English,ang'lit,Common Phrases,,English,Common-Phrases,nglyt,ca34095f5586cc35f4f1f7bf39f1bab1,
כיף,Fun,keif,Letters 3,,Fun,Letters-3,kyp,58895be23f068f961f68ccb948ede046,
האבא,,,Letters 1,,,Letters-1,hb,ffdc11ee70972086f1ead30b54ed4a46,
ולחם,,,Letters 1,,,Letters-1,vlkhm,982e5d692149e9239bb873ca64afc637,
אתכם,you,et'khem,Direct Object,you,You (m.p),Direct-object,tkm,1e904cdcff68a4de3e0baed8e9039e7d,
שאהנה,,,Future Nif'al,,,Verbs:-Future-Nifal,shhnh,bf76e2456fa59a70198322c8bff2c104,
החלב,milk / the milk / the milk is,,Letters 1,milk / the milk / the milk is,,Letters-1,hkhlb,635fb420c4f0287a2e61fa8254c2ba86,
האמא,the mom / the mother,,Letters 1,the mom / the mother,,Letters-1,hm,5464895cb9ad6cd8519c4cabe761547f,
הביתה,"Homebound, Home",habai'tah,Places,,"Homebound, Home",Places,hbyth,a1f1dba999f4986378ee7ad37ff95981,
משאית,Truck,masa'it masa'iyot,Letters 2,,Truck,Letters-2,mshyt,49b7a0b857ee6dfb40ea2856cf23e274,
זמינה,,,Adjectives 3,,,Adjectives-3,zmynh,07ae83e1de7e27de5c224888bb1c54b1,
יומי,Daily,yomi,Adjectives 3,,Daily,Adjectives-3,yvmy,5b44ec329892c0ffcf40d0d6374bfc9f,
מרשימים,,,Adjectives 3,,,Adjectives-3,mrshymym,63415f3c45dc5db671dae40751fd8fa6,
מרשימה,,,Adjectives 3,,,Adjectives-3,mrshymh,6506080b2504657e34d5e000f7eaa000,
טהור,Pure,tahor,Adjectives 3,,Pure,Adjectives-3,thvr,186d51aaeba4b6b712beac6f93c332c8,
עבָה,Thick,aveh,Adjectives 3,,Thick,Adjectives-3,`bah,e2b51aad34ebca45680e5a6cd678af51,
טהורים,,,Adjectives 3,,,Adjectives-3,thvrym,7d8f557ce769fa312ff10f21f5443320,
עבים,,,Adjectives 3,,,Adjectives-3,`bym,71478435c15f66826571c2a675f00f52,
זמין,Available,zamin,Adjectives 3,,Available,Adjectives-3,zmyn,1c193fd4ce9330b306fa82586f7b417b,
מעריצים,,,Feelings,,,Feelings,m`rytsym,7fec771e51f148c265be032763ee7ee7,
מתנשקת,,,Feelings,,,Feelings,mtnshqt,77460a176336c6661ad626acc537d5b1,
רגועים,,,Feelings,,,Feelings,rgv`ym,25d592926be6c8153357ed768564ec36,
מעריצה,,,Feelings,,,Feelings,m`rytsh,852845874f017c6aad82ac96ea982fe1,
מעריץ,,,Feelings,,,Feelings,m`ryts,727fb2d0cbfbb7ece6829342bf6190d5,
מתנשקים,,,Feelings,,,Feelings,mtnshqym,19e50891716a4933eedbbe3242bf4143,
נגדנו,,,Prepositions 1,,,Prepositions-1,ngdnv,6425542b65276425107d624c151d833e,
לשאול,To Ask; Borrow (Qal),lish'ol,Questions,,To Ask; Borrow (Qal),Questions,lshvl,01913c4bbe76706ca20138feb2521d04,
לוח שנה,,,Dates and Time,,,Dates-and-Time,lvkh shnh,53b02b0345696a0ec0e32431ba95f37b,
ההווה,,,Dates and Time,,,Dates-and-Time,hhvvh,77459e05f5b139d55d4b61780628d007,
צהריים,lunch / noon,arukhat tzohorayim arukhot tzohorayim,Dates and Time,lunch / noon,Lunch,Dates-and-Time,tshryym,ed7410cfaae1bfeaf3391ea9772312b0,
איתנו,with us,itanu,Prepositions 1,with us,With Us,Prepositions-1,ytnv,b378ce9d1f70026f413bf010f81c4368,
חדר שינה,,,Home Sweet Home,,,Home,khdr shynh,01a39eeb7b9dfd46e12eb48cd90de1e1,
בחדר שינה,,,Home Sweet Home,,,Home,bkhdr shynh,7c04a8cabe0eb46567b99da1d16af0a5,
חדר אוכל,,,Home Sweet Home,,,Home,khdr vkl,755b7caf9265a75be34b0cedd7dc3938,
הספה,,,Home Sweet Home,,,Home,hsph,422733566f8a952f5ade6c220dc75044,
דוודים,Boiler,dud d'vadim,Home Sweet Home,,Boiler,Home,dvvdym,a309bce021366efa939b29873ece54de,
שכן,Neighbour (m),shakhen sh'khenim,Home Sweet Home,,Neighbour (m),Home,shkn,c5b3f06520424f80cee504cf0b320ddb,
ארון,"Closet, Cupboard",aron aronot,Home Sweet Home,,"Closet, Cupboard",Home,rvn,76a9d4df38cf46b23b57afd19487737d,
ספה,"Sofa, Couch",sapah sapot,Home Sweet Home,,"Sofa, Couch",Home,sph,92ff2abc46488a8d0db471b48f1f67db,
הברז,,,Home Sweet Home,,,Home,hbrz,2a4f5b84ddbdaf8d751f959a55310868,
הארון,,,Home Sweet Home,,,Home,hrvn,fa32955f576a3c3f24a559e4317e9b92,
שכנה,Neighbour (f),sh'khenah sh'khenot,Home Sweet Home,,Neighbour (f),Home,shknh,090da4dbed37176493b4e70521eb3541,
כריך,a sandwich / sandwich,karikh k'rikhim,Food 1,a sandwich / sandwich,Sandwich,Food-1,kryk,464ef8b3f053c5f011f21e8091f9411a,
הבודד,,,Adjectives 3,,,Adjectives-3,hbvdd,325df0b363d4afa21faf076beeef8d81,
בודדים,,,Adjectives 3,,,Adjectives-3,bvddym,191727fcd0476e26f4a706e69e5a6944,
מיידית,,,Adjectives 3,,,Adjectives-3,myydyt,8d813e0c623543d03e7487007c52df59,
ימני,Right-Handed,y'mani,Adjectives 3,,Right-Handed,Adjectives-3,ymny,2213064a91be78c9d2eab1058218ad07,
רחב,Wide,rakhav,Adjectives 3,,Wide,Adjectives-3,rkhb,067bbb6be519ec90973027c193668303,
המסורתית,,,Adjectives 3,,,Adjectives-3,hmsvrtyt,b090bcc8ac23d1bc1dbdf504e13491aa,
תרבותיים,,,Adjectives 3,,,Adjectives-3,trbvtyym,fc395e9f50fac097fc928eed59243fda,
הדתי,,,Adjectives 3,,,Adjectives-3,hdty,3ca8b964c70749f435b4595ab063c865,
מסורתי,Traditional,masar'ti,Adjectives 3,,Traditional,Adjectives-3,msvrty,622e1345e376709d6a29e15eb9d5322b,
דתי,religious (sg. masc.),dati,Adjectives 3,religious (sg. masc.),Religious,Adjectives-3,dty,cb8477647217a832e7e3e83c51b70458,
שלם,"Complete, Whole",shalem,Adjectives 3,,"Complete, Whole",Adjectives-3,shlm,ffb3c78c32ab2cee543512f27e15a2f8,
תרבותי,Cultural,tar'buti,Adjectives 3,,Cultural,Adjectives-3,trbvty,7128c999e2fe23a04ab061a274e3a8e8,
תהיה לךָ,,,Verbs: Future Active 1,,,Verbs:-Future-Active,thyh lka,626fd07cab286275d876a01cff7688c2,
יהיה לי,,,Verbs: Future Active 1,,,Verbs:-Future-Active,yhyh ly,0764974310d57e2e6c73b19dc6134fb1,
תשמע,You (m.s),tish'ma,Verbs: Future Active 1,,You (m.s),Verbs:-Future-Active,tshm`,7c71917fda3fab5be4b0436fe2ce5425,
תחליט,You (m.s),takh'lit,Verbs: Future Active 1,,You (m.s),Verbs:-Future-Active,tkhlyt,d78b286b76e7e7510b9558eb0e8f839d,
יאהב,He/It,yohav,Verbs: Future Active 1,,He/It,Verbs:-Future-Active,yhb,255842b16693133f920340faa3200c8d,
תהיינה,You/They Will Be (3.f.p) (Qal),tih'yenah,Verbs: Future Active 1,,You/They Will Be (3.f.p) (Qal),Verbs:-Future-Active,thyynh,0632cf1c9dad7928347c36a4ae6ebca0,
ישמע,He/It,yish'ma,Verbs: Future Active 1,,He/It,Verbs:-Future-Active,yshm`,2691c25b7d6aace54af532c04e87fa42,
אעמוד,I Will Stand (Qal),e'emod,Verbs: Future Active 1,,I Will Stand (Qal),Verbs:-Future-Active,`mvd,037761d5b3730d647a3ca3db478b2362,
יהיה להם,,,Verbs: Future Active 1,,,Verbs:-Future-Active,yhyh lhm,389affdae284eb659d01a7977f3fe461,
נאהב,We,nohav,Verbs: Future Active 1,,We,Verbs:-Future-Active,nhb,bcb9a5abae908dcb9e262c852ea2ced4,
תעמוד,You (m.s),ta'amod,Verbs: Future Active 1,,You (m.s),Verbs:-Future-Active,t`mvd,73a24a5f3c93b6bf4634cf9a434dca67,
מאיתנו,,,Prepositions 1,,,Prepositions-1,mytnv,ae2883a5d36a2d51a52ead9217addc20,
איתךָ,,,Prepositions 1,,,Prepositions-1,ytka,3dcf1ca668a5e7c877bd4f89a94237e8,
מהן,,,Prepositions 1,,,Prepositions-1,mhn,84accccbbc85dd7a61a0ddc8a48ded41,
בשבילךְ,,,Prepositions 1,,,Prepositions-1,bshbylk@,222f4743a88f0a1a8a2060a98745e4c3,
מהם,,,Prepositions 1,,,Prepositions-1,mhm,80687895298d41cac7997914d9ba2f90,
בשבילם,,,Prepositions 1,,,Prepositions-1,bshbylm,56ccf315e77e9cef7e5be3f023e07a70,
בשבילן,,,Prepositions 1,,,Prepositions-1,bshbyln,dd8574a2a62ffc72cf61a346ee0f7c71,
נגדם,,,Prepositions 1,,,Prepositions-1,ngdm,aa3be5e137e48c3752093e4939fbc659,
לקטגורייה,,,Abstract Objects 1,,,Abstract-Objects-1,lqtgvryyh,e8968ca2fe9ebdb22ef5c51b10832eab,
מההשקפה,of the perspective,,Abstract Objects 1,of the perspective,,Abstract-Objects-1,mhhshqph,0495f88f8e09c307915a0f69e6b63d41,
ביצועים,Performance,bit'zua bitzu'im,Abstract Objects 1,,Performance,Abstract-Objects-1,bytsv`ym,e74311fecec8a35aee4b1483863f3e25,
ברירה,"Option, Choice",b'rerah b'rerot,Abstract Objects 1,,"Option, Choice",Abstract-Objects-1,bryrh,bf3c3c184396c63805dc7049a506af5a,
הביצועים,,,Abstract Objects 1,,,Abstract-Objects-1,hbytsv`ym,9a8c48eb70c74a0632be35cacca31452,
תקווה,Hope,tik'vah tik'vot,Abstract Objects 1,,Hope,Abstract-Objects-1,tqvvh,bf29d93052569ccc0407355b0611be9d,
מהביצועים,,,Abstract Objects 1,,,Abstract-Objects-1,mhbytsv`ym,c587eca3d4a6f0b4447b51e6b0b56a61,
הקדמה,"Intro, Preface",hak'damah hak'damot,Abstract Objects 1,,"Intro, Preface",Abstract-Objects-1,hqdmh,886415207d1e31f2925c6aa9212072a7,
קטגורייה,Category,kategoriyah kategor'yot,Abstract Objects 1,,Category,Abstract-Objects-1,qtgvryyh,292dd6386553e7b9e32c1e3c69616be3,
ההקדמה,,,Abstract Objects 1,,,Abstract-Objects-1,hhqdmh,7d0451ca85d2552f943c017b9f04e28a,
מבנה,a building / a structure / structure,miv'neh miv'nim,Abstract Objects 1,a building / a structure / structure,Stucture,Abstract-Objects-1,mbnh,87d55a35bc013d1d4a14684e9a24892c,
הקטגורייה,,,Abstract Objects 1,,,Abstract-Objects-1,hqtgvryyh,c4251f91e9a4512637d9025e6dc5b796,
ממנו,from him / than him,,Prepositions 1,from him / than him,,Prepositions-1,mmnv,3600bb1f95fa2dfdb88d6cf43dcf1f01,
ההמלצה,,,Politics,,,Politics,hhmltsh,a51762e00a2777f9e4585a06d2b9ce96,
זכויות,(Legal) Right,z'khut z'khuyot,Politics,,(Legal) Right,Politics,zkvyvt,c513c88f11f5805e8cffae1ceaed0e49,
מס,"Tax, Fee",mas misim,Politics,,"Tax, Fee",Politics,ms,75cd68541e7ab8a377b8907b295de435,
במעצר,,,Politics,,,Politics,bm`tsr,7fee0efe0d6ab4087e46051657c3997b,
במשרד הביטחון,,,Politics,,,Politics,bmshrd hbytkhvn,76fa82d0582c2f46c536d588621c0a9e,
מושלת,,,Politics,,,Politics,mvshlt,783b75cee804a3e00f43368dbab53076,
המלצות,Recommendation,ham'latzah ham'latzot,Politics,,Recommendation,Politics,hmltsvt,51bfd8d231decfc6d6e50ac155d86b4e,
מהמעצר,,,Politics,,,Politics,mhm`tsr,d4dbf96a25ea785455cdbe225d6e8ae5,
המעצר,,,Politics,,,Politics,hm`tsr,ea3185fd1b674ef942b0ed07133855db,
ממשרד הביטחון,,,Politics,,,Politics,mmshrd hbytkhvn,bd0034b3778fc1e073f597fb24efe843,
משרד האוצר,,,Politics,,,Politics,mshrd hvtsr,70be6dce7c4293d9e4ab8ef60bbacb05,
ההד,the echo,,Music,the echo,,Music,hhd,c1579aed55aea67149a3a2c7128471d8,
הנבל,,,Music,,,Music,hnbl,40d16ca464a1c666714e8a148d976a8d,
תוף,Drum,tof tupim,Music,,Drum,Music,tvp,b1f1bb81e2125146884f70f8b4c9b845,
המנצח,the (music) conductor,,Music,the (music) conductor,,Music,hmntskh,012c823f34bd4f0224777fa66717a092,
ים-תיכונית,,,Music,,,Music,ym-tykvnyt,9f5148c97c02417402eb9a49a9a50cca,
הד,Echo,hed hedim,Music,,Echo,Music,hd,7ba5e4a86830e24bf8731c994f00a04f,
והרמקולים,,,Music,,,Music,vhrmqvlym,10c1cd8013f62c04e1fca7f9270103c2,
המנגינה,,,Music,,,Music,hmngynh,01415d0166636de617a1a9db36b0387a,
המיקרופונים,,,Music,,,Music,hmyqrvpvnym,df5e782b9a484ccf98e4baa5ad1cb125,
מהמיקרופון,,,Music,,,Music,mhmyqrvpvn,2ae4c44229596719718b79aa91ca712a,
נבל,Harp,nevel n'valim,Music,,Harp,Music,nbl,edf173e9b066ccd8a2e9b76e488c054b,
מנצחים,"We, You, They (m.p - pres.)",m'natz'khim,Music,,"We, You, They (m.p - pres.)",Music,mntskhym,aa3e91aa1c5675a3713aaa0b619910e2,
בתופים,,,Music,,,Music,btvpym,cd6e3a670caf4ca48aa3173dc4cf1bf2,
בנו,,,Prepositions 1,,,Prepositions-1,bnv,63983e998af24efd89f2654c4a13943b,
בתוכו,,,Prepositions 1,,,Prepositions-1,btvkv,d65de3ad96e5ddee3cc4a24d41d67323,
בתוכי,,,Prepositions 1,,,Prepositions-1,btvky,268f957a7f05491ebe20796265f9c3fe,
בי,,,Prepositions 1,,,Prepositions-1,by,b4e3db4153f213801360672938db56b3,
בהן,,,Prepositions 1,,,Prepositions-1,bhn,9211f9a910634826f2e885ea23b5294c,
בהם,,,Prepositions 1,,,Prepositions-1,bhm,fc3305a64a10c6e2ec13748409ebc586,
מכם,,,Prepositions 1,,,Prepositions-1,mkm,3b3ca349e4f2f04d1809d80f1e758749,
לידךְ,,,Prepositions 1,,,Prepositions-1,lydk@,fc0c1df3f9a42d3c09b54b836cd2018b,
מכן,,,Prepositions 1,,,Prepositions-1,mkn,c37d6e00bb0ef5f573554b4e9505d54b,
לידךָ,,,Prepositions 1,,,Prepositions-1,lydka,6049962fe5774bd7ddc215c89d1087a9,
בתוכן,,,Prepositions 1,,,Prepositions-1,btvkn,d9561f450a8ffe5298e88e68f4aac0ce,
בךְ,,,Prepositions 1,,,Prepositions-1,bk@,5c50e57e53239101018f9502ee508a95,
לידו,,,Prepositions 1,,,Prepositions-1,lydv,b9fafc8de1657dda414495026f958f69,
בשבילנו,,,Prepositions 1,,,Prepositions-1,bshbylnv,7e7d9fdb2b74684e033ff14ad0553468,
בשבילו,,,Prepositions 1,,,Prepositions-1,bshbylv,e8e5c730ef0d5870746bf0cac1ed80e4,
בתוכנו,,,Prepositions 1,,,Prepositions-1,btvknv,3ef59d272fd140329fbd8f128f931a86,
לידי,,,Prepositions 1,,,Prepositions-1,lydy,d7b184c7ae12f44b2e8156488e354077,
לידה,Birth,leidah,Prepositions 1,,Birth,Prepositions-1,lydh,3497dc87eb526a52b7604d5067969253,
בשבילה,for her,,Prepositions 1,for her,,Prepositions-1,bshbylh,ed164a54f2cfdc883b1e848d279fd3f6,
בתוכךָ,,,Prepositions 1,,,Prepositions-1,btvkka,7cc6eda3a4d0bf51110a16df716ed41b,
בתוכךְ,,,Prepositions 1,,,Prepositions-1,btvkk@,258513a9d262ee60ae12739e914bba14,
בכן,,,Prepositions 1,,,Prepositions-1,bkn,bf089423b88156a7b2b0097b0821e4b9,
הרפואה,,,Medical,,,Medical,hrpvh,b9c057c5ad98ca235287138d3fd07f0a,
יד,(Wrist) Watch,sh'on yad she'oni yad,Medical,,(Wrist) Watch,Medical,yd,53e518c14271f01cf0dc69b231d1662a,
הריונות,Pregnancy,herayon her'yonot,Medical,,Pregnancy,Medical,hryvnvt,e0037d3dbbe5db67deab5f6feee58c6a,
בהריון,,,Medical,,,Medical,bhryvn,b62d09acdfbe104614c4e6e941723f9b,
השפתיים,,,Medical,,,Medical,hshptyym,45a397e9baab98219c19de6e376078cb,
כף הרגל,,,Medical,,,Medical,kp hrgl,99b3d243e0d8dca632108ad71d03eb22,
מובן,Understandable,muvan,"Passive: Pa'ul, Pu'al and Huf'al",,Understandable,Passive:-Paul-Pual-Hufal,mvbn,1c8917ad2886c49f7bc33bf6130cb4c7,
משונֶה,"Strange, Peculiar, Unusual",m'shuneh,"Passive: Pa'ul, Pu'al and Huf'al",,"Strange, Peculiar, Unusual",Passive:-Paul-Pual-Hufal,mshvneh,ead0da2e2728526c702259355306c5be,
משונָה,"Strange, Peculiar, Unusual",m'shuneh,"Passive: Pa'ul, Pu'al and Huf'al",,"Strange, Peculiar, Unusual",Passive:-Paul-Pual-Hufal,mshvnah,4ea583a1c9ddcaaa109e796e180cd836,
העצמות,,,Medical,,,Medical,h`tsmvt,b21e8b16357fb8ac931041d6be0d6b51,
המרפקים,,,Medical,,,Medical,hmrpqym,b8da29e278579718e1eeac16543f317c,
המרפאה,,,Medical,,,Medical,hmrph,0617fe750e47fb37fd0a1b434edefc85,
האף,,,Medical,,,Medical,hp,c00c9847f8eabf08fcd0601e9efb9d1b,
עצם,bone / noun / object,etzem atzamot,Medical,bone / noun / object,"Object, Bone",Medical,`tsm,804a1a6bd9cd061d3103516193078a3a,
בדיאטה,,,Medical,,,Medical,bdyth,42e2ce0e7c48ce3b6646cb8c3ace5d1a,
הרגליים,,,Medical,,,Medical,hrglyym,195ba9713fd1568edad1a29d6779e2a3,
אחיות,Sister,akhot akhayot,Medical,,Sister,Medical,khyvt,0cbb3a3fd979e3608070a9d1989c1e4e,
המרפק,the elbow,,Medical,the elbow,,Medical,hmrpq,a324b376fe0e35f866856df377128daf,
דיאטה,Diet,di'etah di'etot,Medical,,Diet,Medical,dyth,b4c5c7a7c66d05cc2507934573bdcf6b,
אף,even though / nose / not a,af ekhad,Medical,even though / nose / not a,"Nobody, Not One",Medical,p,b5ed3ac798d62324ca3e6c8e042d9bae,
הזרוע,,,Medical,,,Medical,hzrv`,e9eea035ab8551ff1d9536b2f46c3c4b,
החלף,"Change!, Exchange!, Swap! (Hifil)",hakh'lef,Imperative 1,,"Change!, Exchange!, Swap! (Hifil)",Imperative-1,hkhlp,0f305716d313f67f47b45e171f029bc0,
התחברי,,,Imperative 1,,,Imperative-1,htkhbry,ebc1dd0e241a125a5acae86cfc7ccbb7,
התחבאי,,,Imperative 1,,,Imperative-1,htkhby,5b3286df6cccdb0fe764d7d37531df93,
שתו,,,Imperative 1,,,Imperative-1,shtv,0e94fb650773de36fef39a53ec6611e0,
התחבא,Hide! (Hitpael),hit'khabe,Imperative 1,,Hide! (Hitpael),Imperative-1,htkhb,072c9196f5a9ab266a70684b814b7943,56d854c171f943f3bb93f86ac609ccc9
הראֵה,"Showed, Demonstrated (3.m.s) (Hifil)",hir'ah,Imperative 1,,"Showed, Demonstrated (3.m.s) (Hifil)",Imperative-1,hreh,1f125b37a4a843e912dfa99f7714e393,
נפגעתָ,,,Nif'al Construction,,,Nifal-Construction,npg`ta,ff0ba26c606d72ebb1ecf230ab825e30,
נעשית,,,Nif'al Construction,,,Nifal-Construction,n`shyt,ef0216870ec584f27d0978da76ac4a0b,
ניתן,We,niten,Nif'al Construction,,We,Nifal-Construction,nytn,2601ed6f11b6861d27bf3e35024be16e,9dd6b059b11a6da360712e103ea54768
נפרדים,are breaking up / are separating,,Nif'al Construction,are breaking up / are separating,,Nifal-Construction,nprdym,3a334be1e8017b08e3fc715689b5e459,
נאמרות,,,Nif'al Construction,,,Nifal-Construction,nmrvt,1ffc2ee6b324188f14fef941714f2366,
נעשות,,,Nif'al Construction,,,Nifal-Construction,n`shvt,1c8c590958b71bd72a45ae168e1e5962,
ניתנות,,,Nif'al Construction,,,Nifal-Construction,nytnvt,2f8671924d86e0ca0a009ba4522f2fbc,
שמורות,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,shmvrvt,a03e6197a3ea8008daa128f84c5eb830,
מוצלח,Successful,mutz'lakh,"Passive: Pa'ul, Pu'al and Huf'al",,Successful,Passive:-Paul-Pual-Hufal,mvtslkh,e877dd53580968d4da7db860bdc98a32,
מופרע,Disturbed,muf'ra,"Passive: Pa'ul, Pu'al and Huf'al",,Disturbed,Passive:-Paul-Pual-Hufal,mvpr`,11c099bcbdd46609c0145db75575039c,
זכור,"Recalled, Remembered",zakhur,"Passive: Pa'ul, Pu'al and Huf'al",,"Recalled, Remembered",Passive:-Paul-Pual-Hufal,zkvr,9e5e2efe809e4959979c26c421f2c019,
השמורות,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,hshmvrvt,203c97049cc26a648f265adf60f54746,
מושפעים,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,mvshp`ym,a4feee211c710ba71ff849c7e51b2fd6,
משוכנעים,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,mshvkn`ym,68a0e8baae977941ba276b7d487c236b,
מוגבל,limited / restricted,mug'bal,"Passive: Pa'ul, Pu'al and Huf'al",limited / restricted,Restricted; Limited,Passive:-Paul-Pual-Hufal,mvgbl,4032766e1dd2d8cde63bb0ebbf3a5423,
מוגבלת,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,mvgblt,8e432e0554d4275fd237586f6d4c3130,
מופרעת,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,mvpr`t,f4a2e662b46b584edb039e007ade4999,
משוכנע,Convinced,m'shukh'na,"Passive: Pa'ul, Pu'al and Huf'al",,Convinced,Passive:-Paul-Pual-Hufal,mshvkn`,e9569db7a15c5bb1d15327c1d1edbf17,
הזכורים,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,hzkvrym,b6dbaf9ca66cc867feb438f9172c8155,
לדעת,to know,lada'at,Infinitives 1,to know,Know (Qal),Verbs:-Infinitive,ld`t,802111d09b6e84b5f87f1796e353537a,
קנויה,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,qnvyh,7d62326588cca21f008593ee23a52a96,
הצפויה,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,htspvyh,2371699a684f47b9389cf87c9657dcee,
בכמה,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,bkmh,7aa8a41af733d0f2a200b33ebe926e3b,
מדובר,"Discussed, Talked About",m'dubar,"Passive: Pa'ul, Pu'al and Huf'al",,"Discussed, Talked About",Passive:-Paul-Pual-Hufal,mdvbr,a099736a6ad298942ab1aea92c7bab7f,
מוסבר,"Explained, Clarified",mus'bar,"Passive: Pa'ul, Pu'al and Huf'al",,"Explained, Clarified",Passive:-Paul-Pual-Hufal,mvsbr,48c301a411d910cf009795f52a820c6f,
משותפת,,,"Passive: Pa'ul, Pu'al and Huf'al",,,Passive:-Paul-Pual-Hufal,mshvtpt,b7539054f661d6b41959d700d0460af7,
כתוב,written,katuv,"Passive: Pa'ul, Pu'al and Huf'al",written,"Written, Inscribed",Passive:-Paul-Pual-Hufal,ktvb,4f9379e03b7725fdd5695a0125021379,
